Keyword,Category
"Acquisition",Corporate Actions & M&A
"Buyback",Corporate Actions & M&A
"Capital increase",Corporate Actions & M&A
"Delisting",Corporate Actions & M&A
"Divestiture",Corporate Actions & M&A
"Hostile takeover",Corporate Actions & M&A
"IPO",Corporate Actions & M&A
"Joint venture",Corporate Actions & M&A
"Leveraged buyout (LBO)",Corporate Actions & M&A
"Management buyout (MBO)",Corporate Actions & M&A
"Merger",Corporate Actions & M&A
"Reverse merger",Corporate Actions & M&A
"Reverse stock split",Corporate Actions & M&A
"Secondary offering",Corporate Actions & M&A
"Share repurchase",Corporate Actions & M&A
"Shelf registration",Corporate Actions & M&A
"Spin-off",Corporate Actions & M&A
"Stock split",Corporate Actions & M&A
"Strategic alliance",Corporate Actions & M&A
"Takeover",Corporate Actions & M&A
"Audit",Financial & Corporate Performance
"Bankruptcy",Financial & Corporate Performance
"Cash flow negative",Financial & Corporate Performance
"Cash flow positive",Financial & Corporate Performance
"Chapter 11",Financial & Corporate Performance
"Cost-cutting",Financial & Corporate Performance
"Credit rating downgrade",Financial & Corporate Performance
"Credit rating upgrade",Financial & Corporate Performance
"Debt default",Financial & Corporate Performance
"Debt restructuring",Financial & Corporate Performance
"Dividend cut",Financial & Corporate Performance
"Dividend increase",Financial & Corporate Performance
"Earnings beat",Financial & Corporate Performance
"Earnings miss",Financial & Corporate Performance
"Going concern",Financial & Corporate Performance
"Guidance lowered",Financial & Corporate Performance
"Guidance raised",Financial & Corporate Performance
"Insolvency",Financial & Corporate Performance
"Liquidation",Financial & Corporate Performance
"Liquidity crisis",Financial & Corporate Performance
"Margins expanding",Financial & Corporate Performance
"Margins shrinking",Financial & Corporate Performance
"Profit margin",Financial & Corporate Performance
"Profit warning",Financial & Corporate Performance
"Record loss",Financial & Corporate Performance
"Record profit",Financial & Corporate Performance
"Revenue growth",Financial & Corporate Performance
"Revenue warning",Financial & Corporate Performance
"Shareholder value",Financial & Corporate Performance
"Write-down",Financial & Corporate Performance
"Alzheimer's",Healthcare & Biotech
"Biologics License Application (BLA)",Healthcare & Biotech
"Breakthrough therapy designation",Healthcare & Biotech
"Cancer",Healthcare & Biotech
"Clinical trial failure",Healthcare & Biotech
"Clinical trial success",Healthcare & Biotech
"Complete response letter",Healthcare & Biotech
"Cure",Healthcare & Biotech
"Drug pipeline",Healthcare & Biotech
"Epidemic",Healthcare & Biotech
"FDA approval",Healthcare & Biotech
"FDA rejection",Healthcare & Biotech
"Generic competition",Healthcare & Biotech
"New Drug Application (NDA)",Healthcare & Biotech
"Orphan drug status",Healthcare & Biotech
"Pandemic",Healthcare & Biotech
"Patent cliff",Healthcare & Biotech
"Phase 1 trial",Healthcare & Biotech
"Phase 2 trial",Healthcare & Biotech
"Phase 3 failure",Healthcare & Biotech
"Phase 3 success",Healthcare & Biotech
"Vaccine",Healthcare & Biotech
"Antitrust",Legal & Regulatory
"Cartel",Legal & Regulatory
"Class action",Legal & Regulatory
"Compliance issue",Legal & Regulatory
"Consent decree",Legal & Regulatory
"DOJ investigation",Legal & Regulatory
"Embezzlement",Legal & Regulatory
"Fine",Legal & Regulatory
"Forced divestiture",Legal & Regulatory
"Indictment",Legal & Regulatory
"Injunction",Legal & Regulatory
"Investigation",Legal & Regulatory
"Lawsuit",Legal & Regulatory
"Litigation",Legal & Regulatory
"Monopoly",Legal & Regulatory
"Patent infringement",Legal & Regulatory
"Penalty",Legal & Regulatory
"Price-fixing",Legal & Regulatory
"Product liability",Legal & Regulatory
